"species_latin_name_gbif","component_name","avg_component_mean","n_obs","body_mass","diet"
"acinonyx_jubatus","C",14.385,2,46700,"Carnivore"
"acinonyx_jubatus","N",2.545,2,46700,"Carnivore"
"acinonyx_jubatus","P",6.41,2,46700,"Carnivore"
"acrocodia_indica","P",0.2689,1,1540.8,"Omnivore"
"aepyceros_melampus","N",2.1495,20,52500.08,"Herbivore"
"ailurus_fulgens","C",42.5905461771429,7,4900,"Omnivore"
"ailurus_fulgens","N",1.83594526642857,7,4900,"Omnivore"
"ailurus_fulgens","P",0.509371428571429,7,4900,"Omnivore"
"alcelaphus_lichtensteinii","N",1.9484,5,168695.66,"Herbivore"
"alcelaphus_lichtensteinii","P",0.50525,4,168695.66,"Herbivore"
"alces_alces","C",44.118808745,2,356998.16,"Herbivore"
"alces_alces","N",2.87226248733333,3,356998.16,"Herbivore"
"alces_alces","P",1.85555,2,356998.16,"Herbivore"
"antidorcas_marsupialis","C",34.51955795,1,296250,"Herbivore"
"antidorcas_marsupialis","N",2.002411842,1,296250,"Herbivore"
"antidorcas_marsupialis","P",0.7713,1,296250,"Herbivore"
"arctictis_binturong","C",44.19392776,1,9875,"Omnivore"
"arctictis_binturong","N",1.240069151,1,9875,"Omnivore"
"arctictis_binturong","P",1.29645,2,9875,"Omnivore"
"arctocephalus_australis","C",22.59,1,45000,"Carnivore"
"arctocephalus_australis","N",4.05,1,45000,"Carnivore"
"arctocephalus_australis","P",10.6,1,45000,"Carnivore"
"artibeus_glaucus","N",6.09,1,11.06,"Omnivore"
"artibeus_jamaicensis","N",5.57,1,42.17,"Omnivore"
"artibeus_lituratus","N",6.64,1,60.54,"Omnivore"
"artibeus_obscurus","N",4.98,1,35.2,"Omnivore"
"bison_bison","N",1.44,1,579255.28,"Herbivore"
"bison_bison","P",1.24,1,579255.28,"Herbivore"
"bison_bonasus","C",42.0576210364286,14,5e+05,"Herbivore"
"bison_bonasus","N",1.58477239185714,14,5e+05,"Herbivore"
"bison_bonasus","P",0.274045591236364,11,5e+05,"Herbivore"
"bos_grunniens","P",0.4491,1,300,"Carnivore"
"bos_taurus","C",39.9662681385,60,9e+05,"Herbivore"
"bos_taurus","N",1.78425280475833,60,9e+05,"Herbivore"
"bos_taurus","P",0.536421489643478,46,9e+05,"Herbivore"
"camelus_dromedarius","C",43.17414093,3,601000,"Herbivore"
"camelus_dromedarius","N",1.52698984025,4,601000,"Herbivore"
"camelus_dromedarius","P",0.550466666666667,3,601000,"Herbivore"
"canis_lupus","C",24.6972586788889,9,32183.33,"Carnivore"
"canis_lupus","N",2.71388505888889,9,32183.33,"Carnivore"
"canis_lupus","P",4.09333333333333,3,32183.33,"Carnivore"
"capra_falconeri","P",0.7159,1,25875,"Herbivore"
"capra_ibex","C",42.99582291,1,31500,"Herbivore"
"capra_ibex","N",2.459096909,1,31500,"Herbivore"
"capra_ibex","P",0.6693,1,31500,"Herbivore"
"capreolus_capreolus","C",49.7728229536364,22,22500,"Herbivore"
"capreolus_capreolus","N",3.31565746330769,26,22500,"Herbivore"
"capreolus_capreolus","P",0.615059666831818,22,22500,"Herbivore"
"carollia_brevicaudum","N",6.27,1,14.4,"Herbivore"
"carollia_castanea","N",5.29,1,13.27,"Herbivore"
"carollia_perspicillata","N",6.96,1,18,"Herbivore"
"cephalophus_natalensis","N",2.20933333333333,3,11999.97,"Omnivore"
"cephalophus_natalensis","P",0.318666666666667,3,11999.97,"Omnivore"
"ceratotherium_simum","C",44.12213275,5,2949986.31,"Herbivore"
"ceratotherium_simum","N",0.87273934,5,2949986.31,"Herbivore"
"ceratotherium_simum","P",0.281075,4,2949986.31,"Herbivore"
"cervus_elaphus","C",36.9411477377778,27,165015.85,"Herbivore"
"cervus_elaphus","N",2.17806715208263,53,165015.85,"Herbivore"
"cervus_elaphus","P",0.38940057504,15,165015.85,"Herbivore"
"cervus_nippon","N",2.44454545454545,11,53000,"Herbivore"
"chrysocyon_brachyurus","C",40.42006683,2,23249.84,"Omnivore"
"chrysocyon_brachyurus","N",3.718232393,2,23249.84,"Omnivore"
"chrysocyon_brachyurus","P",1.286,2,23249.84,"Omnivore"
"colobus_guereza","C",46.63153458,1,1800,"Carnivore"
"colobus_guereza","N",2.932796359,2,1800,"Carnivore"
"colobus_guereza","P",1.42,2,1800,"Carnivore"
"connochaetes_taurinus","C",42.4676923076923,13,179998.96,"Herbivore"
"connochaetes_taurinus","N",1.39461209184146,82,179998.96,"Herbivore"
"connochaetes_taurinus","P",0.271790476190476,63,179998.96,"Herbivore"
"dama_dama","C",44.0284502616667,18,52375,"Herbivore"
"dama_dama","N",2.48561638638889,18,52375,"Herbivore"
"dama_dama","P",0.275755903144444,18,52375,"Herbivore"
"damaliscus_pygargus","C",44.94,1,102000,"Herbivore"
"damaliscus_pygargus","N",1.75,1,102000,"Herbivore"
"damaliscus_pygargus","P",0.7853,1,102000,"Herbivore"
"dasyprocta_azarae","P",2.19,1,1000,"Herbivore"
"desmodus_rotundus","C",50.52,1,31.21,"Carnivore"
"desmodus_rotundus","N",17.38,1,31.21,"Carnivore"
"dolichotis_patagonum","C",43.92605972,1,416500,"Herbivore"
"dolichotis_patagonum","N",2.404252768,1,416500,"Herbivore"
"dolichotis_patagonum","P",0.6106,1,416500,"Herbivore"
"equus_africanus","C",32.2,2,244999.25,"Herbivore"
"equus_africanus","N",0.9485,2,244999.25,"Herbivore"
"equus_africanus","P",0.91125,2,244999.25,"Herbivore"
"equus_caballus","C",42.8520342621818,55,250000,"Herbivore"
"equus_caballus","N",1.42185972575818,55,250000,"Herbivore"
